# This is a modified file with test data.
# This file was originall produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# It has since been modified.
# Tue Jul  9 17:39:41 2019
# User preference: *
kepoi_name,kepler_name,koi_teq
K00005.02,,
K00065.01,,
K00099.02,,
K00111.04,,
K00129.02,,
K00142.02,,
K00154.01,,
K00245.04,Kepler-37 e,
K00302.02,,
K00364.01,,
K00383.01,,
K00439.02,,
K00445.01,,
K00539.01,,
K00562.01,,
K00594.01,,
K00595.01,,
K00651.02,,
K00736.03,,
K00860.01,,
K00879.01,,
K00885.01,,
K00962.01,,
K00966.02,,
K00973.01,,
K01010.01,,
K01019.01,,
K01026.01,,
K01027.01,,
K01042.02,,
K01046.01,,
K01109.01,,
K01132.02,,
K01134.02,,
K01136.01,,
K01149.01,,
K01198.04,,
K01219.01,,
K01229.01,,
K01312.02,,
K01316.02,,
K01356.01,,
K01372.01,,
K01408.02,,
K01445.03,,
K01541.02,,
K01545.02,,
K01617.01,,
K01677.02,,
K01686.01,,
K01739.01,,
K01747.02,,
K01922.02,,
K01926.01,,
K01927.01,,
K01940.02,,
K02160.02,,
K02176.01,,
K02311.01,,
K02311.02,,
K02323.01,,
K02326.01,,
K02334.01,,
K02339.02,,
K02360.02,,
K02394.01,,
K02410.01,,
K02410.02,,
K02432.02,,
K02473.02,,
K02502.01,,
K02515.01,,
K02533.02,,
K02570.02,,
K02631.02,,
K02640.01,,
K02843.01,,
K02902.01,,
K02918.02,,
K02940.01,,
K02988.01,,
K03035.01,,
K03046.01,,
K03076.01,,
K03079.01,,
K03080.01,,
K03118.01,,
K03139.01,,
K03143.01,,
K03149.01,,
K03180.01,,
K03233.01,,
K03283.01,,
K03376.02,,
K03504.02,,
K03610.02,,
K03628.01,,
K03641.02,,
K03644.02,,
K03691.02,,
K03716.01,,
K03716.02,,
K03722.01,,
K03729.02,,
K03773.01,,
K03827.02,,
K04030.02,,
K04073.01,,
K04134.01,,
K04229.01,,
K04298.02,,
K04369.01,,
K04396.01,,
K04396.02,,
K04396.03,,
K04396.04,,
K04568.02,,
K04616.01,,
K04716.02,,
K04883.01,,
K04889.01,,
K04932.01,,
K04952.01,,
K04955.01,,
K04956.01,,
K04957.01,,
K04960.01,,
K04969.01,,
K04979.01,,
K04993.01,,
K04995.01,,
K04996.01,,
K05000.01,,
K05006.01,,
K05008.01,,
K05022.01,,
K05031.01,,
K05035.01,,
K05051.01,,
K05056.01,,
K05062.01,,
K05074.01,,
K05080.01,,
K05103.01,,
K05112.01,,
K05118.01,,
K05136.01,,
K05137.01,,
K05140.01,,
K05143.01,,
K05154.01,,
K05159.01,,
K05160.01,,
K05161.01,,
K05166.01,,
K05177.01,,
K05194.01,,
K05197.01,,
K05210.01,,
K05264.01,,
K05266.01,,
K05270.01,,
K05292.01,,
K05295.01,,
K05309.01,,
K05342.01,,
K05349.01,,
K05350.01,,
K05352.01,,
K05356.01,,
K05362.01,,
K05363.01,,
K05364.01,,
K05367.01,,
K05368.01,,
K05374.01,,
K05377.01,,
K05383.01,,
K05397.01,,
K05400.01,,
K05402.01,,
K05404.01,,
K05405.01,,
K05422.01,,
K05424.01,,
K05425.01,,
K05428.01,,
K05429.01,,
K05431.01,,
K05432.01,,
K05437.01,,
K05447.01,,
K05450.01,,
K05467.01,,
K05494.01,,
K05496.01,,
K05504.01,,
K05533.01,,
K05537.01,,
K05549.01,,
K05561.01,,
K05576.01,,
K05599.01,,
K05619.01,,
K05620.01,,
K05634.01,,
K05637.01,,
K05644.01,,
K05645.01,,
K05656.01,,
K05668.01,,
K05670.01,,
K05673.01,,
K05697.01,,
K05701.01,,
K05709.01,,
K05710.01,,
K05716.01,,
K05734.01,,
K05751.01,,
K05756.01,,
K05759.01,,
K05781.01,,
K05783.01,,
K05785.01,,
K05795.01,,
K05803.01,,
K05807.01,,
K05808.01,,
K05809.01,,
K05811.01,,
K05813.01,,
K05820.01,,
K05821.01,,
K05824.01,,
K05836.01,,
K05837.01,,
K05843.01,,
K05857.01,,
K05872.01,,
K05880.01,,
K05882.01,,
K05905.01,,
K05916.01,,
K05926.01,,
K05928.01,,
K05931.01,,
K05935.01,,
K05936.01,,
K05946.01,,
K05951.01,,
K05955.01,,
K05966.01,,
K05975.01,,
K05977.01,,
K06048.02,,
K06097.01,,
K06099.02,,
K06106.01,,
K06115.01,,
K06127.01,,
K06136.01,,
K06142.01,,
K06142.03,,
K06143.02,,
K06148.01,,
K06150.01,,
K06154.01,,
K06158.02,,
K06164.02,,
K06170.01,,
K06176.02,,
K06180.01,,
K06197.01,,
K06202.01,,
K06203.01,,
K06210.01,,
K06216.01,,
K06216.02,,
K06224.01,,
K06237.02,,
K06238.01,,
K06239.02,,
K06242.01,,
K06242.02,,
K06249.01,,
K06298.01,,
K06340.01,,
K06341.01,,
K06378.01,,
K06402.01,,
K06430.01,,
K06437.01,,
K06485.01,,
K06489.01,,
K06503.02,,
K06505.01,,
K06507.01,,
K06516.02,,
K06528.01,,
K06529.01,,
K06530.01,,
K06542.01,,
K06560.01,,
K06598.01,,
K06610.01,,
K06656.01,,
K06660.01,,
K06697.01,,
K06698.01,,
K06744.01,,
K06747.01,,
K06759.01,,
K06768.01,,
K06835.01,,
K06850.01,,
K06855.01,,
K06876.01,,
K06884.01,,
K06886.01,,
K06910.01,,
K06927.01,,
K06946.01,,
K06965.01,,
K07060.01,,
K07080.01,,
