# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 24 19:39:48 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_steff,koi_srad
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,,,,
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,,,,
10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887803076,,,,
3861595,K00004.01,Kepler-1658 b,CONFIRMED,3.849371737,,,,
8554498,K00005.01,,CANDIDATE,4.780327581,,,,
8554498,K00005.02,,FALSE POSITIVE,7.051856370,,,,
3248033,K00006.01,,FALSE POSITIVE,1.334101467,,,,
11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668926,,,,
5903312,K00008.01,,FALSE POSITIVE,1.160152590,,,,
11553706,K00009.01,,FALSE POSITIVE,3.719809197,,,,
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,,,,
11913073,K00011.01,,FALSE POSITIVE,3.747838198,,,,
5812701,K00012.01,Kepler-448 b,CONFIRMED,17.855221681,,,,
9941662,K00013.01,Kepler-13 b,CONFIRMED,1.763587535,,,,
7684873,K00014.01,,FALSE POSITIVE,2.947376671,,,,
3964562,K00015.01,,FALSE POSITIVE,3.012476582,,,,
9110357,K00016.01,,FALSE POSITIVE,0.895277575,,,,
10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699282,,,,
8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465446,,,,
7255336,K00019.01,,FALSE POSITIVE,1.203200920,,,,
11804465,K00020.01,Kepler-12 b,CONFIRMED,4.437962934,,,,
10125352,K00021.01,,FALSE POSITIVE,4.288515468,,,,
9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448838,,,,
9071386,K00023.01,,FALSE POSITIVE,4.693305543,,,,
4743513,K00024.01,,FALSE POSITIVE,2.086075752,,,,
10593759,K00025.01,,FALSE POSITIVE,3.132604547,,,,
5021737,K00026.01,,FALSE POSITIVE,15.039463260,,,,
3832716,K00027.01,,FALSE POSITIVE,1.141877248,,,,
4247791,K00028.01,,FALSE POSITIVE,4.100870416,,,,
6956014,K00031.01,,FALSE POSITIVE,0.925589891,,,,
5725087,K00033.01,,FALSE POSITIVE,0.366197145,,,,
6521045,K00041.01,Kepler-100 c,CONFIRMED,12.815904210,,,,
6521045,K00041.02,Kepler-100 b,CONFIRMED,6.887070730,,,,
6521045,K00041.03,Kepler-100 d,CONFIRMED,35.333193200,,,,
8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.833678340,,,,
9025922,K00043.01,,FALSE POSITIVE,11.320295990,,,,
8845026,K00044.01,,FALSE POSITIVE,66.467462170,,,,
3742855,K00045.01,,FALSE POSITIVE,6.397185875,,,,
10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487688776,,,,
